hgnc_id	gene	source_id	source_group_id	membership	membership_column	source_symbols
HGNC:13681	DCHS1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DCHS1
HGNC:13681	DCHS1	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DCHS1
HGNC:13681	DCHS1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DCHS1
HGNC:13681	DCHS1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DCHS1
HGNC:3005	DPM1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DPM1
HGNC:3005	DPM1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DPM1
HGNC:2736	DDX11	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DDX11
HGNC:2736	DDX11	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DDX11
HGNC:2736	DDX11	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DDX11
HGNC:2736	DDX11	dong_recessive108	dong2025	1	Dong recessive 108	DDX11
HGNC:2736	DDX11	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DDX11
HGNC:19200	DPPA4	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DPPA4
HGNC:2745	DDX3X	sierant_dominant60	sierant2025	1	Sierant dominant 60	DDX3X
HGNC:2745	DDX3X	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DDX3X
HGNC:2745	DDX3X	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DDX3X
HGNC:21144	DSE	dong_recessive108	dong2025	1	Dong recessive 108	DSE
HGNC:21144	DSE	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DSE
HGNC:21144	DSE	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DSE
HGNC:2845	DGCR2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DGCR2
HGNC:3057	DTNA	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DTNA
HGNC:3057	DTNA	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DTNA
HGNC:3057	DTNA	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DTNA
HGNC:3057	DTNA	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DTNA
HGNC:2859	DHCR24	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DHCR24
HGNC:2859	DHCR24	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DHCR24
HGNC:2859	DHCR24	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DHCR24
HGNC:2859	DHCR24	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DHCR24
HGNC:2962	DYNC2H1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DYNC2H1
HGNC:2962	DYNC2H1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DYNC2H1
HGNC:2962	DYNC2H1	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DYNC2H1
HGNC:2962	DYNC2H1	dong_recessive108	dong2025	1	Dong recessive 108	DYNC2H1
HGNC:2962	DYNC2H1	dong_observed_recessive23	dong2025	1	Dong observed recessive 23	DYNC2H1
HGNC:2962	DYNC2H1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DYNC2H1
HGNC:2962	DYNC2H1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DYNC2H1
HGNC:2860	DHCR7	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	DHCR7
HGNC:2860	DHCR7	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DHCR7
HGNC:2860	DHCR7	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DHCR7
HGNC:2860	DHCR7	dong_recessive108	dong2025	1	Dong recessive 108	DHCR7
HGNC:2860	DHCR7	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DHCR7
HGNC:21862	DYNC2I1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	WDR60
HGNC:2904	DLG5	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	DLG5
HGNC:24595	DYNC2LI1	dong_recessive108	dong2025	1	Dong recessive 108	DYNC2LI1
HGNC:2909	DLL3	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DLL3
HGNC:20908	DZIP1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DZIP1
HGNC:2910	DLL4	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	DLL4
HGNC:2910	DLL4	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	DLL4
HGNC:2910	DLL4	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DLL4
HGNC:2910	DLL4	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DLL4
HGNC:2910	DLL4	griffin2023_supp3_denovo	griffin2023	1	Griffin_2023_Supp_Table_3_Curated_De_Novo Variants.csv	DLL4
HGNC:3146	ECE1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ECE1
HGNC:3146	ECE1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	ECE1
HGNC:3146	ECE1	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	ECE1
HGNC:2935	DMRT2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DMRT2
HGNC:2935	DMRT2	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DMRT2
HGNC:13275	ECE2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ECE2
HGNC:30539	DNAAF1	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	DNAAF1;LRRC50
HGNC:30539	DNAAF1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DNAAF1;LRRC50
HGNC:30539	DNAAF1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DNAAF1;LRRC50
HGNC:30539	DNAAF1	dong_recessive108	dong2025	1	Dong recessive 108	DNAAF1;LRRC50
HGNC:30539	DNAAF1	dong_observed_recessive23	dong2025	1	Dong observed recessive 23	DNAAF1;LRRC50
HGNC:30539	DNAAF1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	DNAAF1;LRRC50
HGNC:3176	EDN1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	EDN1
HGNC:3176	EDN1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	EDN1
HGNC:16725	DNAAF11	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	LRRC6
HGNC:16725	DNAAF11	dong_recessive108	dong2025	1	Dong recessive 108	LRRC6
HGNC:3179	EDNRA	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	EDNRA
HGNC:32700	DNAAF19	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	CCDC103
HGNC:32700	DNAAF19	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	CCDC103
HGNC:32700	DNAAF19	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	CCDC103
HGNC:32700	DNAAF19	dong_recessive108	dong2025	1	Dong recessive 108	CCDC103
HGNC:3188	EED	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	EED
HGNC:3188	EED	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	EED
HGNC:3188	EED	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	EED
HGNC:3188	EED	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	EED
HGNC:20188	DNAAF2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DNAAF2
HGNC:20188	DNAAF2	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DNAAF2
HGNC:20188	DNAAF2	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DNAAF2
HGNC:20188	DNAAF2	dong_recessive108	dong2025	1	Dong recessive 108	DNAAF2
HGNC:20188	DNAAF2	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DNAAF2
HGNC:3227	EFNB2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	EFNB2
HGNC:3227	EFNB2	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	EFNB2
HGNC:3227	EFNB2	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	EFNB2
HGNC:3227	EFNB2	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	EFNB2
HGNC:30492	DNAAF3	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DNAAF3
HGNC:30492	DNAAF3	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DNAAF3
HGNC:30492	DNAAF3	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DNAAF3
HGNC:30492	DNAAF3	dong_recessive108	dong2025	1	Dong recessive 108	DNAAF3
HGNC:30492	DNAAF3	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DNAAF3
HGNC:30858	EFTUD2	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	EFTUD2
HGNC:30858	EFTUD2	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	EFTUD2
HGNC:30858	EFTUD2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	EFTUD2
HGNC:30858	EFTUD2	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	EFTUD2
HGNC:30858	EFTUD2	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	EFTUD2
HGNC:21493	DNAAF4	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	DNAAF4
HGNC:21493	DNAAF4	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	DNAAF4
HGNC:21493	DNAAF4	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	DNAAF4
HGNC:21493	DNAAF4	dong_recessive108	dong2025	1	Dong recessive 108	DNAAF4
HGNC:21493	DNAAF4	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	DNAAF4
HGNC:3236	EGFR	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	EGFR
HGNC:3236	EGFR	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	EGFR
HGNC:3236	EGFR	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	EGFR
HGNC:3236	EGFR	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	EGFR
HGNC:3236	EGFR	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	EGFR
